query_id,|V|,|E|,avgD,approx.Treewidth,Nodeconnective,diameter,cluster,max_matching,mvc,maxcut,degree_assort,attr_assort
1,10,10,2.0,2,1,7,0.0,4,5,10,-0.35802469135802595,-0.19760479041916174
2,10,13,2.6,3,1,4,0.0,4,7,13,-0.10852713178294719,-0.08333333333333337
3,10,12,2.4,2,1,4,0.15333333333333332,4,7,10,-0.060465116279069565,-0.1578947368421053
4,10,9,1.8,1,1,9,0.0,4,6,9,-0.12499999999999775,-0.19999999999999998
5,10,9,1.8,1,1,8,0.0,4,5,8,-0.3333333333333347,-0.26562500000000006
6,10,9,1.8,1,1,8,0.0,4,5,9,-0.6666666666666665,-0.208955223880597
7,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.13286713286713286
8,10,10,2.0,2,1,5,0.13999999999999999,3,5,9,-0.5288220551378447,-0.0322580645161291
9,10,10,2.0,2,1,8,0.16666666666666666,4,6,9,0.16666666666666533,-0.09756097560975616
10,10,9,1.8,1,1,7,0.0,3,4,8,-0.4651162790697679,-0.24137931034482754
11,10,9,1.8,1,1,7,0.0,4,6,8,-0.4651162790697679,-0.22727272727272724
12,10,10,2.0,2,1,7,0.0,4,6,9,-0.35802469135802595,-0.29032258064516137
13,10,11,2.2,2,1,8,0.26666666666666666,4,7,10,0.4358974358974363,-0.06796116504854369
14,10,10,2.0,2,1,8,0.16666666666666666,4,7,9,0.16666666666666533,0.047619047619047596
15,10,15,3.0,3,1,4,0.4833333333333333,5,8,12,-0.04519774011299431,-0.0684931506849315
16,10,9,1.8,1,1,9,0.0,4,6,8,-0.12499999999999775,-0.19999999999999998
17,10,13,2.6,3,1,4,0.22999999999999998,4,7,11,0.061371841155234474,-0.0514705882352941
18,10,11,2.2,2,1,4,0.0,3,5,10,-0.6041666666666664,-0.21546961325966849
19,10,10,2.0,2,1,6,0.0,4,5,9,-0.3888888888888899,-0.25000000000000006
20,10,11,2.2,2,1,6,0.15,4,8,10,-0.035294117647058476,0.0246305418719212
21,10,11,2.2,2,1,6,0.08333333333333333,4,6,10,0.08333333333333319,-0.041420118343195284
22,10,10,2.0,2,1,7,0.16666666666666666,4,6,9,-0.5686274509803901,0.012345679012345623
23,10,10,2.0,2,1,8,0.0,4,7,9,-0.05263157894737167,-0.19760479041916174
24,10,9,1.8,1,1,9,0.0,5,6,7,-0.12499999999999775,-0.06666666666666671
25,10,10,2.0,2,1,7,0.0,4,7,9,-0.11111111111111223,-0.25000000000000006
26,10,10,2.0,2,1,7,0.0,4,6,10,-0.35802469135802595,-0.06508875739644973
27,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,-0.208955223880597
28,10,11,2.2,2,1,7,0.3,4,6,10,-0.035294117647058476,-0.14691943127962087
29,10,10,2.0,2,1,8,0.23333333333333334,5,7,8,-0.05263157894737167,-0.07784431137724555
30,10,9,1.8,1,1,7,0.0,4,8,9,-0.636363636363637,0.007874015748031461
31,10,11,2.2,2,1,6,0.2533333333333333,4,7,9,-0.3531746031746037,-0.15183246073298434
32,10,10,2.0,2,1,6,0.0,4,6,9,-0.61904761904762,0.0789473684210526
33,10,11,2.2,2,1,8,0.2,4,6,9,0.365384615384618,-0.11111111111111112
